901,9,room,,,b0901,
902,9,room,,b0901,,
903,9,room,b0901,,,
907,9,room,,,,b0915
909,9,room,,,b0906,
911,9,room,b0911,,,
913,9,room,,,,b0913
925,9,room,,,,b0925
926,9,room,,b0911,,
927,9,room,b0911,,,
931,9,room,b0912,,,
935,9,room,b0913,,,
936,9,room,,b0912,,
938,9,room,,b0913,,
939,9,room,b0914,,,
940,9,room,,b0914,,
sA09,9,room,,b0902,b0917,
sB09,9,room,,b0919,,b0909
sD09,9,room,,,,b0914
b0901,9,block,902,903,b0902,903
b0902,9,block,sA09,,b0916,b0901
b0903,9,block,,b0917,,
b0904,9,block,,,b0905,b0917
b0905,9,block,,b0906,b0907,b0904
b0906,9,block,b0905,911,913,909
b0907,9,block,,,b0909,b0905
b0908,9,block,,b0909,,
b0909,9,block,b0908,b09010,sB09,b0907
b0910,9,block,b0909,b0918,b0919,
b0911,9,block,926,927,b0912,b0919
b0912,9,block,936,931,b0913,b0911
b0913,9,block,938,b0935,b0914,b0912
b0914,9,block,940,939,sD09,b0913
b0915,9,block,b0916,,907,
b0916,9,block,b0917,b0915,,b0902
b0917,9,block,b0903,b0916,b0904,sA09
b0918,9,block,b0910,,925,
b0919,9,block,sB09,,b0911,b0910
