501,5,room,,,b0501,
502,5,room,,b0501,,
503,5,room,b0502,,,
505,5,room,b0503,,,
507,5,room,,,,b0503
511,5,room,,,b0506,
513,5,room,,,,b0506
525,5,room,,,b0509,
531,5,room,b0510,,,
540,5,room,,,,b0510
580,5,room,,,b0514,
583,5,room,,,b0515,
584,5,room,,,b0516,
sA05,5,room,,b0502,b0504,
sB05,5,room,,b0510,,b0508
b0501,5,block,502,501,b0502,
b0502,5,block,sA05,503,b0503,b0501
b0503,5,block,b0504,505,507,b0502
b0504,5,block,b0513,b0503,b0505,sA05
b0505,5,block,,b0506,b0507,b0504
b0506,5,block,b0505,,513,511
b0507,5,block,,,b0508,b0505
b0508,5,block,b05011,b0509,sB05,b0507
b0509,5,block,b0508,,b0510,525
b0510,5,block,sB05,531,540,b0509
b0511,5,block,b0518,b0508,,
b0512,5,block,,,b0518,b0517
b0513,5,block,b0517,b0504,,
b0514,5,block,b0515,b0513,,580
b0515,5,block,b0516,b0514,,583
b0516,5,block,,b0515,,584
b0517,5,block,b0513,b0513,b0512,
b0518,5,block,,b0511,,b0512
