801,8,room,,,b0801,
802,8,room,,b0801,,
803,8,room,b0801,,,
804,8,room,,b0802,,
807,8,room,b0802,,,
809,8,room,b0803,,,
811,8,room,,,,b0803
815,8,room,b0808,,,
817,8,room,,,,b0808
826,8,room,,b0813,,
827,8,room,,,,b0812
829,8,room,b0813,,,
833,8,room,b0814,,,
835,8,room,b0815,,,
836,8,room,,b0814,,
837,8,room,b0816,,,
838,8,room,,b0815,,
839,8,room,b0817,,,
840,8,room,,b0816,,
sA08,8,room,,b0819,b0805,
sB08,8,room,,b0818,,b0809
sD08,8,room,,,,b0817
b0801,8,block,802,803,b0802,801
b0802,8,block,804,,b0819,b0801
b0803,8,block,b0804,809,811,807
b0804,8,block,b0805,b0803,,b0819
b0805,8,block,b0806,b0804,b0807,sA08
b0806,8,block,,b0805,,
b0807,8,block,,b0808,b0809,b0805
b0808,8,block,b0807,815,817,
b0809,8,block,b0810,b0811,sB08,b0807
b0810,8,block,,b0809,,
b0811,8,block,b0809,b0812,b0818,
b0812,8,block,b0811,,827,
b0813,8,block,826,829,b0814,b0818
b0814,8,block,836,833,b0815,b0813
b0815,8,block,838,835,b0816,b0814
b0816,8,block,840,837,b0817,b0815
b0817,8,block,,839,sD08,b0816
b0818,8,block,sB08,,b0813,b0811
