601,6,room,,,b0601,
615,6,room,b0606,,,
0615A,6,room,b0610,,,
0615C,6,room,b0601,,,
627,6,room,b0611,,,
629,6,room,b0612,,,
635,6,room,b0613,,,
636,6,room,,b0612,,
638,6,room,,b0613,,
639,6,room,b0614,,,
640,6,room,,b0614,,
660,6,room,,,b0605,
680,6,room,,b0605,,
sA06,6,room,,b0602,b0603,
sB06,6,room,,b0610,,b0607
sD06,6,room,,,,b0614
b0601,6,block,,,,601
b0602,6,block,sA06,,b0603,b0601
b0603,6,block,b0604,b0602,b0606,sA06
b0604,6,block,b0605,b0603,,
b0605,6,block,680,b0604,,660
b0606,6,block,,615,b0607,b0603
b0607,6,block,b0608,b0609,sB06,b0606
b0608,6,block,,b0607,,
b0609,6,block,b0607,,b0610,
b0610,6,block,sB06,,b0611,b0609
b0611,6,block,,627,b0612,b0610
b0612,6,block,636,629,b0613,b0611
b0613,6,block,638,635,b0614,b0612
b0614,6,block,640,639,sD06,b0613
